f='./input.txt'
Performing Design Space Exploration...
Total: 4059 rotations
L75 Dial 39
R336 Dial 64
R91 Dial 0
R39 Dial 91
R24 Dial 30
L34 Dial 54
R64 Dial 20
R271 Dial 84
L69 Dial 55
L586 Dial 86
R43 Dial 0
R77 Dial 43
L57 Dial 20
R24 Dial 63
R13 Dial 87
R93 Dial 0
L53 Dial 93
L502 Dial 40
R82 Dial 38
L20 Dial 20
L90 Dial 0
R19 Dial 10
R16 Dial 29
R55 Dial 45
L19 Dial 0
R15 Dial 81
R7 Dial 96
L503 Dial 3
L33 Dial 0
L8 Dial 67
L29 Dial 59
L60 Dial 30
L699 Dial 70
R90 Dial 71
L61 Dial 61
R18 Dial 0
R66 Dial 18
L387 Dial 84
L20 Dial 97
L377 Dial 77
L66 Dial 0
R66 Dial 34
L336 Dial 0
R36 Dial 64
L86 Dial 0
R15 Dial 14
R71 Dial 29
L31 Dial 0
L17 Dial 69
L29 Dial 52
L63 Dial 23
L67 Dial 60
R7 Dial 93
R692 Dial 0
L92 Dial 92
L38 Dial 0
R238 Dial 62
L8 Dial 0
L51 Dial 92
L376 Dial 41
R25 Dial 65
L90 Dial 90
L64 Dial 0
R48 Dial 36
L622 Dial 84
R64 Dial 62
L26 Dial 26
R36 Dial 0
L936 Dial 36
R95 Dial 0
R505 Dial 95
R21 Dial 0
L21 Dial 21
R810 Dial 0
L48 Dial 10
L62 Dial 62
L98 Dial 0
L58 Dial 2
R56 Dial 44
L69 Dial 0
R169 Dial 31
R41 Dial 0
L41 Dial 41
L42 Dial 0
R8 Dial 58
R34 Dial 66
R594 Dial 0
R16 Dial 94
L29 Dial 10
L15 Dial 81
R34 Dial 66
L25 Dial 0
L68 Dial 75
L18 Dial 7
R5 Dial 89
R61 Dial 94
R55 Dial 55
R16 Dial 10
R561 Dial 26
R13 Dial 87
R51 Dial 0
L37 Dial 51
R40 Dial 14
R46 Dial 54
R25 Dial 0
R75 Dial 25
R13 Dial 0
L13 Dial 13
R82 Dial 0
L93 Dial 82
L30 Dial 89
R261 Dial 59
L20 Dial 20
R2 Dial 0
R49 Dial 2
L31 Dial 51
R38 Dial 20
R91 Dial 58
R561 Dial 49
R971 Dial 10
R19 Dial 81
R71 Dial 0
R29 Dial 71
L25 Dial 0
R10 Dial 75
R17 Dial 85
L987 Dial 2
R85 Dial 15
R96 Dial 0
R282 Dial 96
L70 Dial 78
L69 Dial 8
R61 Dial 39
R88 Dial 0
R68 Dial 88
L54 Dial 56
R87 Dial 2
L24 Dial 89
R8 Dial 65
L73 Dial 73
R233 Dial 0
R657 Dial 33
R52 Dial 90
L53 Dial 42
L49 Dial 89
L340 Dial 40
R37 Dial 0
L78 Dial 37
L72 Dial 59
R813 Dial 87
L88 Dial 0
R88 Dial 12
R65 Dial 0
L34 Dial 65
R353 Dial 31
R79 Dial 84
L40 Dial 63
R77 Dial 23
L45 Dial 0
R108 Dial 55
R29 Dial 63
L14 Dial 92
L13 Dial 78
L77 Dial 65
L7 Dial 88
L11 Dial 81
R39 Dial 70
L9 Dial 9
L4 Dial 0
L96 Dial 96
R48 Dial 0
R29 Dial 48
L60 Dial 77
R883 Dial 17
L3 Dial 0
L186 Dial 97
R87 Dial 11
L67 Dial 98
R24 Dial 31
R47 Dial 55
R20 Dial 2
R32 Dial 22
L54 Dial 54
R18 Dial 0
L18 Dial 18
L49 Dial 0
R49 Dial 51
L27 Dial 0
L35 Dial 73
R85 Dial 38
L445 Dial 23
L47 Dial 78
R44 Dial 31
L908 Dial 75
R42 Dial 67
R19 Dial 9
L32 Dial 28
R22 Dial 96
R25 Dial 18
L43 Dial 43
L47 Dial 0
R63 Dial 53
L64 Dial 16
R145 Dial 52
L97 Dial 97
R80 Dial 0
R720 Dial 80
R11 Dial 0
R51 Dial 11
R96 Dial 62
R353 Dial 58
R832 Dial 11
L26 Dial 43
R83 Dial 17
R87 Dial 0
R32 Dial 87
R81 Dial 19
R88 Dial 0
L668 Dial 88
L54 Dial 20
R434 Dial 66
R490 Dial 0
R31 Dial 90
R69 Dial 21
L372 Dial 90
L84 Dial 18
R34 Dial 34
L468 Dial 68
R33 Dial 0
L33 Dial 33
L79 Dial 0
L421 Dial 21
R73 Dial 0
R45 Dial 73
L87 Dial 18
L183 Dial 31
L580 Dial 48
L17 Dial 68
R49 Dial 51
R91 Dial 0
L91 Dial 91
R40 Dial 0
R22 Dial 40
R99 Dial 62
R717 Dial 61
L78 Dial 78
R111 Dial 0
R17 Dial 11
L28 Dial 28
R2 Dial 0
L528 Dial 2
R613 Dial 74
L8 Dial 87
L79 Dial 79
L86 Dial 0
R2 Dial 14
L34 Dial 16
R26 Dial 82
R92 Dial 8
L904 Dial 0
R2 Dial 96
L69 Dial 98
R15 Dial 29
L727 Dial 44
R961 Dial 17
R890 Dial 78
R7 Dial 68
R318 Dial 75
L93 Dial 93
L8 Dial 0
L19 Dial 92
L343 Dial 73
R37 Dial 30
R64 Dial 67
R37 Dial 31
L968 Dial 68
R424 Dial 0
L24 Dial 24
L51 Dial 0
R59 Dial 49
L31 Dial 8
R23 Dial 77
R94 Dial 0
L88 Dial 94
L55 Dial 6
R949 Dial 51
R33 Dial 0
R15 Dial 33
L78 Dial 48
R30 Dial 70
L12 Dial 0
R712 Dial 88
L64 Dial 0
L36 Dial 36
L13 Dial 0
L87 Dial 87
L28 Dial 0
L85 Dial 72
L854 Dial 87
L63 Dial 33
L33 Dial 70
R25 Dial 37
R181 Dial 62
R57 Dial 43
L1 Dial 0
R1 Dial 99
R155 Dial 0
L55 Dial 55
L99 Dial 0
L33 Dial 1
L109 Dial 68
L65 Dial 59
L94 Dial 94
L99 Dial 0
R99 Dial 1
R10 Dial 0
R28 Dial 10
R63 Dial 38
R99 Dial 1
L7 Dial 0
L93 Dial 93
L43 Dial 0
R43 Dial 57
R31 Dial 0
L58 Dial 31
L673 Dial 73
L183 Dial 0
L17 Dial 17
R43 Dial 0
R47 Dial 43
R10 Dial 90
R20 Dial 0
R2 Dial 20
L22 Dial 22
L55 Dial 0
L445 Dial 45
L13 Dial 0
L887 Dial 87
R4 Dial 0
R26 Dial 4
L825 Dial 30
R45 Dial 5
R68 Dial 50
R40 Dial 18
R227 Dial 58
R11 Dial 85
R116 Dial 96
L79 Dial 12
R85 Dial 33
R682 Dial 18
R66 Dial 0
L14 Dial 66
R14 Dial 52
L66 Dial 66
L86 Dial 0
R886 Dial 14
L72 Dial 0
R80 Dial 28
L96 Dial 8
L6 Dial 12
R72 Dial 6
L27 Dial 78
L8 Dial 51
L43 Dial 43
R97 Dial 0
L78 Dial 97
L19 Dial 19
L21 Dial 0
L26 Dial 79
L17 Dial 53
R64 Dial 36
R62 Dial 0
R72 Dial 62
L34 Dial 34
L85 Dial 0
L19 Dial 15
R13 Dial 96
R91 Dial 9
L15 Dial 0
L5 Dial 85
R53 Dial 80
R210 Dial 33
R362 Dial 43
L197 Dial 5
R47 Dial 8
R28 Dial 55
L47 Dial 83
L46 Dial 36
R10 Dial 90
L37 Dial 0
R757 Dial 63
R70 Dial 20
L459 Dial 90
L155 Dial 31
L53 Dial 76
L73 Dial 23
L50 Dial 50
L5 Dial 0
L58 Dial 95
R24 Dial 37
R966 Dial 61
L27 Dial 27
R104 Dial 0
R77 Dial 4
L29 Dial 81
L52 Dial 52
R36 Dial 0
R64 Dial 36
L628 Dial 0
L72 Dial 72
R74 Dial 0
L52 Dial 74
L58 Dial 22
R336 Dial 64
R495 Dial 0
R83 Dial 95
L36 Dial 78
R87 Dial 42
L58 Dial 29
L29 Dial 71
L42 Dial 42
R55 Dial 0
R48 Dial 55
R97 Dial 3
R126 Dial 0
L71 Dial 26
L70 Dial 55
L12 Dial 85
L36 Dial 73
L972 Dial 37
L65 Dial 65
R28 Dial 0
R2 Dial 28
L30 Dial 30
L76 Dial 0
R67 Dial 24
R56 Dial 91
L69 Dial 47
R22 Dial 78
L15 Dial 0
R12 Dial 85
L25 Dial 97
R34 Dial 72
R56 Dial 6
L70 Dial 62
R8 Dial 92
L44 Dial 0
R44 Dial 56
L89 Dial 0
L14 Dial 11
L98 Dial 97
L499 Dial 99
R61 Dial 0
L40 Dial 61
R10 Dial 21
L384 Dial 31
L83 Dial 47
R36 Dial 64
L6 Dial 0
R42 Dial 94
R323 Dial 36
R63 Dial 59
R78 Dial 22
L99 Dial 0
L98 Dial 1
R958 Dial 3
L69 Dial 61
L92 Dial 92
R93 Dial 0
R55 Dial 93
R58 Dial 48
R94 Dial 6
L564 Dial 0
R843 Dial 36
R28 Dial 79
R97 Dial 7
R84 Dial 4
R207 Dial 88
L42 Dial 95
L977 Dial 53
L76 Dial 76
L63 Dial 0
L91 Dial 37
L646 Dial 46
L949 Dial 0
R49 Dial 51
L46 Dial 0
R89 Dial 54
R57 Dial 43
R44 Dial 0
L978 Dial 44
L3 Dial 66
L10 Dial 63
L53 Dial 53
R30 Dial 0
L30 Dial 30
L69 Dial 0
R769 Dial 31
R80 Dial 0
L87 Dial 80
L6 Dial 93
L47 Dial 87
L70 Dial 40
R96 Dial 70
R87 Dial 66
R47 Dial 53
L56 Dial 0
L55 Dial 44
R11 Dial 89
R16 Dial 0
R84 Dial 16
L8 Dial 0
L74 Dial 92
L18 Dial 18
L55 Dial 0
L54 Dial 45
R9 Dial 91
L42 Dial 0
R42 Dial 58
L86 Dial 0
R8 Dial 14
L22 Dial 22
R853 Dial 0
R27 Dial 53
L780 Dial 80
R9 Dial 0
R91 Dial 9
R54 Dial 0
L315 Dial 54
R46 Dial 39
R8 Dial 85
L44 Dial 93
L456 Dial 49
L93 Dial 93
R87 Dial 0
R43 Dial 87
R14 Dial 30
R956 Dial 44
L29 Dial 0
L971 Dial 71
L658 Dial 0
R16 Dial 42
L74 Dial 58
R86 Dial 84
R262 Dial 70
R29 Dial 32
L56 Dial 61
L19 Dial 5
R43 Dial 86
R41 Dial 29
L70 Dial 70
L69 Dial 0
R69 Dial 31
R71 Dial 0
R29 Dial 71
L63 Dial 0
L37 Dial 37
L50 Dial 0
R944 Dial 50
R6 Dial 94
L41 Dial 0
R74 Dial 59
L133 Dial 33
L13 Dial 0
L25 Dial 87
R938 Dial 62
L4 Dial 0
R555 Dial 96
R463 Dial 51
L80 Dial 14
R679 Dial 34
L48 Dial 13
L165 Dial 65
L702 Dial 0
L94 Dial 98
R96 Dial 4
R53 Dial 0
R495 Dial 53
R52 Dial 48
R22 Dial 0
R78 Dial 22
R719 Dial 0
L19 Dial 19
R96 Dial 0
R224 Dial 96
R80 Dial 20
L20 Dial 0
L74 Dial 80
R614 Dial 6
R98 Dial 20
R82 Dial 18
L833 Dial 0
L67 Dial 67
R43 Dial 0
R30 Dial 43
L4 Dial 73
R9 Dial 69
R22 Dial 78
L95 Dial 0
R62 Dial 5
L555 Dial 67
L357 Dial 12
R80 Dial 55
L53 Dial 35
R82 Dial 82
L86 Dial 64
L83 Dial 78
L18 Dial 95
R623 Dial 77
L24 Dial 0
L676 Dial 76
L84 Dial 0
R88 Dial 16
L22 Dial 4
R43 Dial 82
R75 Dial 25
L43 Dial 0
L768 Dial 57
L66 Dial 89
L95 Dial 23
L28 Dial 28
R77 Dial 0
L90 Dial 77
L506 Dial 87
R19 Dial 81
R440 Dial 0
R59 Dial 40
R93 Dial 99
L3 Dial 92
R11 Dial 89
L58 Dial 0
L740 Dial 42
R7 Dial 2
L63 Dial 9
L58 Dial 46
R12 Dial 88
R624 Dial 0
L24 Dial 24
R333 Dial 0
L40 Dial 33
L93 Dial 93
R10 Dial 0
R90 Dial 10
L37 Dial 0
R48 Dial 63
R89 Dial 11
L56 Dial 0
L920 Dial 44
L24 Dial 24
R81 Dial 0
R19 Dial 81
L3 Dial 0
R3 Dial 97
L94 Dial 0
R94 Dial 6
R7 Dial 0
L2 Dial 7
R95 Dial 5
L28 Dial 0
R8 Dial 72
R648 Dial 80
L28 Dial 28
R89 Dial 0
R25 Dial 89
L822 Dial 14
R52 Dial 92
L854 Dial 44
R46 Dial 90
R2 Dial 36
R40 Dial 38
L40 Dial 78
R62 Dial 38
L16 Dial 0
L84 Dial 84
L33 Dial 0
R60 Dial 67
L605 Dial 27
R97 Dial 22
L45 Dial 19
R59 Dial 74
L733 Dial 33
R13 Dial 0
R87 Dial 13
R56 Dial 0
R31 Dial 56
L38 Dial 87
R51 Dial 49
L81 Dial 0
R81 Dial 19
R84 Dial 0
L138 Dial 84
L46 Dial 46
R24 Dial 0
R260 Dial 24
R95 Dial 84
L29 Dial 79
R50 Dial 50
R813 Dial 0
R37 Dial 13
R50 Dial 50
L70 Dial 0
L30 Dial 30
R6 Dial 0
L96 Dial 6
L710 Dial 10
R94 Dial 0
R99 Dial 94
L52 Dial 93
L41 Dial 41
R93 Dial 0
R7 Dial 93
L18 Dial 0
L54 Dial 82
L628 Dial 28
L80 Dial 0
L16 Dial 20
L97 Dial 4
L7 Dial 7
L178 Dial 0
R436 Dial 22
L58 Dial 58
R37 Dial 0
L73 Dial 37
R25 Dial 64
R11 Dial 89
L55 Dial 0
R36 Dial 45
R92 Dial 81
R8 Dial 73
R2 Dial 81
L83 Dial 83
R29 Dial 0
R49 Dial 29
L10 Dial 78
L860 Dial 68
L8 Dial 8
L52 Dial 0
L53 Dial 48
R5 Dial 95
L99 Dial 0
R20 Dial 1
R27 Dial 21
L95 Dial 48
R89 Dial 53
R79 Dial 42
L21 Dial 21
R1 Dial 0
R56 Dial 1
R43 Dial 57
R78 Dial 0
R22 Dial 78
L43 Dial 0
R5 Dial 57
R11 Dial 62
R99 Dial 73
L43 Dial 72
L55 Dial 29
R41 Dial 74
R30 Dial 15
L55 Dial 45
R285 Dial 90
R84 Dial 75
R86 Dial 59
R21 Dial 45
R816 Dial 66
R71 Dial 82
L53 Dial 53
L84 Dial 0
L16 Dial 16
R71 Dial 0
R50 Dial 71
R79 Dial 21
R90 Dial 0
R310 Dial 90
L70 Dial 0
L175 Dial 30
R42 Dial 55
L45 Dial 97
L871 Dial 52
L51 Dial 81
R70 Dial 30
R8 Dial 0
L2 Dial 8
R60 Dial 6
R34 Dial 66
L29 Dial 0
R80 Dial 71
L94 Dial 51
L675 Dial 57
L45 Dial 82
R63 Dial 37
R25 Dial 0
R75 Dial 25
L61 Dial 0
L48 Dial 39
R75 Dial 91
R97 Dial 66
R47 Dial 63
R90 Dial 10
L99 Dial 0
L1 Dial 1
R769 Dial 0
L15 Dial 69
R34 Dial 54
R99 Dial 88
L387 Dial 87
R23 Dial 0
R96 Dial 23
R81 Dial 19
R16 Dial 0
L11 Dial 16
R396 Dial 5
R13 Dial 1
L14 Dial 14
R63 Dial 0
R38 Dial 63
R99 Dial 1
R18 Dial 0
R611 Dial 18
R140 Dial 29
L62 Dial 69
L82 Dial 7
R621 Dial 25
R79 Dial 46
R48 Dial 25
R27 Dial 73
R43 Dial 0
L20 Dial 43
L32 Dial 23
R9 Dial 91
R16 Dial 0
R84 Dial 16
R52 Dial 0
L63 Dial 52
R11 Dial 89
L26 Dial 0
L12 Dial 74
L62 Dial 62
L88 Dial 0
R73 Dial 12
R955 Dial 85
R60 Dial 40
L72 Dial 0
R353 Dial 28
R819 Dial 81
L70 Dial 0
R27 Dial 30
L57 Dial 57
L66 Dial 0
L50 Dial 34
L90 Dial 84
R6 Dial 94
L15 Dial 0
L785 Dial 85
L89 Dial 0
R89 Dial 11
L88 Dial 0
L198 Dial 12
R95 Dial 14
L98 Dial 9
R53 Dial 11
L664 Dial 64
L11 Dial 0
L89 Dial 89
R20 Dial 0
R80 Dial 20
L17 Dial 0
L81 Dial 83
L187 Dial 2
L83 Dial 15
R62 Dial 32
R88 Dial 94
R477 Dial 82
L259 Dial 59
L80 Dial 0
R80 Dial 20
L63 Dial 0
R363 Dial 37
L362 Dial 0
L38 Dial 38
L4 Dial 0
R73 Dial 96
R31 Dial 69
L90 Dial 0
L86 Dial 10
R776 Dial 24
L43 Dial 0
R13 Dial 57
R25 Dial 70
L65 Dial 95
L91 Dial 30
L857 Dial 39
L38 Dial 82
R47 Dial 44
R909 Dial 91
R56 Dial 0
R156 Dial 56
R72 Dial 12
L90 Dial 84
R84 Dial 94
R22 Dial 78
L40 Dial 0
R44 Dial 60
L544 Dial 4
L79 Dial 60
R57 Dial 81
L176 Dial 38
L49 Dial 62
L842 Dial 13
R29 Dial 71
R816 Dial 0
L16 Dial 16
R14 Dial 0
L63 Dial 14
L21 Dial 51
R25 Dial 30
R45 Dial 55
R30 Dial 0
L30 Dial 30
R78 Dial 0
R22 Dial 78
L11 Dial 0
L89 Dial 89
R46 Dial 0
L35 Dial 46
R89 Dial 11
L93 Dial 0
L23 Dial 7
R69 Dial 84
R33 Dial 53
R12 Dial 86
L286 Dial 98
R88 Dial 12
L93 Dial 0
R85 Dial 7
R9 Dial 92
R87 Dial 1
R12 Dial 88
R92 Dial 0
R64 Dial 92
R454 Dial 56
R17 Dial 10
R2 Dial 27
R71 Dial 29
R78 Dial 0
R41 Dial 78
R581 Dial 19
L525 Dial 0
R25 Dial 75
R94 Dial 0
L94 Dial 94
L21 Dial 0
L79 Dial 79
L22 Dial 0
R94 Dial 78
L59 Dial 72
L813 Dial 13
L70 Dial 0
L63 Dial 30
R933 Dial 67
R43 Dial 0
L43 Dial 43
L75 Dial 0
L25 Dial 25
L363 Dial 0
R63 Dial 37
L88 Dial 0
L612 Dial 12
R62 Dial 0
L3 Dial 62
L59 Dial 59
L609 Dial 0
L791 Dial 91
R46 Dial 0
R65 Dial 46
L8 Dial 11
L9 Dial 3
L45 Dial 94
R11 Dial 49
R57 Dial 60
R245 Dial 17
L784 Dial 62
R72 Dial 78
R47 Dial 50
R13 Dial 97
L910 Dial 10
R97 Dial 0
L97 Dial 97
R96 Dial 0
L87 Dial 96
L97 Dial 9
L12 Dial 12
L81 Dial 0
L974 Dial 19
R55 Dial 45
R51 Dial 0
R40 Dial 51
R23 Dial 91
R180 Dial 14
L97 Dial 94
L91 Dial 97
R21 Dial 6
R967 Dial 27
L315 Dial 94
R51 Dial 79
L30 Dial 30
R70 Dial 0
L93 Dial 70
L49 Dial 77
L71 Dial 28
R491 Dial 57
L7 Dial 48
R59 Dial 41
R67 Dial 0
L56 Dial 67
L56 Dial 11
L761 Dial 55
L3 Dial 94
L491 Dial 91
L41 Dial 0
R47 Dial 59
L6 Dial 6
R95 Dial 0
L6 Dial 95
R15 Dial 89
R96 Dial 4
L79 Dial 0
R991 Dial 21
R94 Dial 12
R605 Dial 6
R9 Dial 11
R80 Dial 20
R79 Dial 0
R17 Dial 79
R869 Dial 96
R35 Dial 65
L62 Dial 0
R762 Dial 38
L238 Dial 0
L504 Dial 62
R42 Dial 58
R921 Dial 0
L86 Dial 21
R340 Dial 35
L975 Dial 75
L13 Dial 0
R13 Dial 87
R829 Dial 0
R10 Dial 29
L7 Dial 39
R68 Dial 32
R975 Dial 0
L32 Dial 75
R35 Dial 43
L86 Dial 78
R71 Dial 92
R37 Dial 63
L82 Dial 0
